outcome,ratio_none_subclass,ratio_clr_subclass,density_none_subclass,ratio_none_cluster,ratio_clr_cluster,density_none_cluster
parkinson,0.3581100549405759,0.2654398274518389,0.6032192356943278,0.4275117106520182,0.3636575791389633,0.7166444978150276
epilepsy_rtle,0.2706579342432758,0.4700646752052704,0.391634024629436,0.6175990309690256,0.5247362740533368,0.425302342751516
adhd,0.5524127797710703,0.513476548909167,0.5461607982063008,0.4058954935243899,0.5333686318152849,0.4347443063767606
asd,-0.3132198914582704,-0.0847796160997766,-0.6991142443581606,0.3554646773674088,0.4641162794551602,0.0345787104460937
schizotypy,0.2882590080710727,-0.0049631315678089,-0.0575532214469043,0.1453724716907711,0.1561867811357498,0.1051826147663453
ocd,-0.2340034394459551,-0.1218335413441464,-0.1101982765881888,0.0561539450108589,-0.0487193919610695,-0.0609820610612727
epilepsy_ltle,0.0260725001599374,-0.0580834619959289,-0.0572367707375411,-0.0568179038877174,-0.0620981023530224,-0.3736566932842953
depression,-0.2343949517605326,-0.161562442413202,-0.3669334545915261,-0.0398681693976705,-0.1205356862857187,0.0183877754900473
epilepsy_gge,-0.3174000151869749,-0.3220908244503029,-0.1455245786556818,-0.1883397631786001,-0.0797406431858247,-0.1197640923367486
schizophrenia,-1.4314932184002305,-1.4760776059778329,-0.6747122947552173,-0.2346700416185632,-0.3345220539850528,-0.4060443471901018
bipolar,-1.2959178531468432,-1.1069318739839833,-0.7985997503626523,-0.338773272795384,-0.4590275349139625,-0.374049172461641
obesity,-0.8693288197184497,-1.1217620192790814,-0.6702060094383027,-0.9017401294991698,-0.5651412090259527,-0.442605013217981
22q,-0.8515375137265575,-0.8004233666117724,-0.8000032519701328,-0.7893402709228605,-0.8061853824526508,-0.6852300182873485
